Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
0, ORB, SIFT, 500, 92, 8.54463, 68.4761, 0, 0
1, ORB, SIFT, 500, 102, 8.61132, 68.3531, 67, 0.452243
2, ORB, SIFT, 500, 106, 8.73236, 76.0014, 79, 0.588192
3, ORB, SIFT, 500, 113, 8.91488, 75.6836, 78, 0.562514
4, ORB, SIFT, 500, 109, 10.3474, 68.9676, 79, 0.567774
5, ORB, SIFT, 500, 125, 8.6757, 72.6926, 82, 0.605076
6, ORB, SIFT, 500, 130, 10.539, 79.4257, 95, 0.689838
7, ORB, SIFT, 500, 129, 9.96113, 82.732, 95, 0.778907
8, ORB, SIFT, 500, 127, 8.78342, 86.51, 94, 0.718849
9, ORB, SIFT, 500, 128, 8.81042, 80.0223, 94, 0.707639

0, AKAZE, BRISK, 1351, 166, 118.074, 2.15333, 0, 0
1, AKAZE, BRISK, 1327, 157, 109.999, 2.10029, 137, 0.907101
2, AKAZE, BRISK, 1311, 161, 110.283, 2.11167, 125, 0.850191
3, AKAZE, BRISK, 1351, 155, 130.348, 2.02167, 129, 0.837424
4, AKAZE, BRISK, 1360, 163, 118.141, 2.17535, 129, 0.876477
5, AKAZE, BRISK, 1347, 164, 109.539, 3.45739, 131, 0.945917
6, AKAZE, BRISK, 1363, 173, 115.391, 2.23168, 132, 0.921903
7, AKAZE, BRISK, 1331, 175, 118.24, 3.58467, 142, 1.02974
8, AKAZE, BRISK, 1357, 177, 119.586, 2.27722, 146, 1.04644
9, AKAZE, BRISK, 1331, 179, 121.411, 2.36129, 144, 1.05785

0, AKAZE, BRIEF, 1351, 166, 120.111, 1.04001, 0, 0
1, AKAZE, BRIEF, 1327, 157, 115.23, 0.917842, 141, 0.787615
2, AKAZE, BRIEF, 1311, 161, 111.412, 0.879857, 134, 0.774011
3, AKAZE, BRIEF, 1351, 155, 109.623, 0.938761, 131, 0.776143
4, AKAZE, BRIEF, 1360, 163, 120.805, 0.883691, 130, 0.760948
5, AKAZE, BRIEF, 1347, 164, 111.903, 0.887066, 134, 0.830664
